client_code,product,push_notification
1,Карта для путешествий,"Айгерим, в среднем вы тратите 214 014 ₸ в месяц на поездки и отели. С тревел-картой ≈10 701 ₸ возврата в мес. Открыть карту в приложении."
2,Премиальная карта,"Данияр, у вас средний остаток 1 577 073 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
3,Карта для путешествий,"Сабина, в среднем вы тратите 66 645 ₸ в месяц на поездки и отели. С тревел-картой ≈3 332 ₸ возврата в мес. Открыть карту в приложении."
4,Карта для путешествий,"Тимур, в среднем вы тратите 204 708 ₸ в месяц на поездки и отели. С тревел-картой ≈10 235 ₸ возврата в мес. Открыть карту в приложении."
5,Карта для путешествий,"Камилла, в среднем вы тратите 213 650 ₸ в месяц на поездки и отели. С тревел-картой ≈10 683 ₸ возврата в мес. Открыть карту в приложении."
6,Карта для путешествий,"Аян, в среднем вы тратите 195 838 ₸ в месяц на поездки и отели. С тревел-картой ≈9 792 ₸ возврата в мес. Открыть карту в приложении."
7,Депозит Сберегательный,"Руслан, для стабильного дохода — сберегательный вклад со ставкой до 16,5%. Посмотреть условия."
8,Премиальная карта,"Мадина, у вас средний остаток 1 058 403 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
9,Депозит Сберегательный,"Арман, для стабильного дохода — сберегательный вклад со ставкой до 16,5%. Посмотреть условия."
10,Премиальная карта,"Карина, у вас средний остаток 1 277 325 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
11,Депозит Сберегательный,"Бауржан, для стабильного дохода — сберегательный вклад со ставкой до 16,5%. Посмотреть условия."
12,Премиальная карта,"Жанар, у вас средний остаток 849 046 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
13,Кредитная карта,"Алина, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
14,Кредитная карта,"Диас, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
15,Карта для путешествий,"Нурия, в среднем вы тратите 64 882 ₸ в месяц на поездки и отели. С тревел-картой ≈3 244 ₸ возврата в мес. Открыть карту в приложении."
16,Карта для путешествий,"Ерасыл, в среднем вы тратите 99 094 ₸ в месяц на поездки и отели. С тревел-картой ≈4 955 ₸ возврата в мес. Открыть карту в приложении."
17,Кредитная карта,"Жанель, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
18,Кредитная карта,"Санжар, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
19,Кредитная карта,"Азамат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
20,Карта для путешествий,"Анель, в среднем вы тратите 90 034 ₸ в месяц на поездки и отели. С тревел-картой ≈4 502 ₸ возврата в мес. Открыть карту в приложении."
21,Премиальная карта,"Павел, у вас средний остаток 1 798 169 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
22,Кредитная карта,"Аружан, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
23,Обмен валют,"Темирлан, вы часто платите в валюты. В приложении удобный обмен без комиссии и мультивалютные счета. Настроить обмен."
24,Кредитная карта,"Гульмира, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
25,Карта для путешествий,"Адиль, в среднем вы тратите 103 804 ₸ в месяц на поездки и отели. С тревел-картой ≈5 190 ₸ возврата в мес. Открыть карту в приложении."
26,Карта для путешествий,"Маржан, в среднем вы тратите 242 822 ₸ в месяц на поездки и отели. С тревел-картой ≈12 141 ₸ возврата в мес. Открыть карту в приложении."
27,Карта для путешествий,"Нурсултан, в среднем вы тратите 185 177 ₸ в месяц на поездки и отели. С тревел-картой ≈9 259 ₸ возврата в мес. Открыть карту в приложении."
28,Карта для путешествий,"Алтынай, в среднем вы тратите 186 391 ₸ в месяц на поездки и отели. С тревел-картой ≈9 320 ₸ возврата в мес. Открыть карту в приложении."
29,Карта для путешествий,"Сая, в среднем вы тратите 196 907 ₸ в месяц на поездки и отели. С тревел-картой ≈9 845 ₸ возврата в мес. Открыть карту в приложении."
30,Карта для путешествий,"Ербол, в среднем вы тратите 209 702 ₸ в месяц на поездки и отели. С тревел-картой ≈10 485 ₸ возврата в мес. Открыть карту в приложении."
31,Премиальная карта,"Дамир, у вас средний остаток 1 303 848 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
32,Премиальная карта,"Алия, у вас средний остаток 2 317 160 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
33,Премиальная карта,"Мерей, у вас средний остаток 824 246 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
34,Карта для путешествий,"Инкар, в среднем вы тратите 0 ₸ в месяц на поездки и отели. С тревел-картой ≈0 ₸ возврата в мес. Открыть карту в приложении."
35,Премиальная карта,"Самат, у вас средний остаток 1 448 797 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
36,Карта для путешествий,"Назым, в среднем вы тратите 88 969 ₸ в месяц на поездки и отели. С тревел-картой ≈4 448 ₸ возврата в мес. Открыть карту в приложении."
37,Премиальная карта,"Гульнар, у вас средний остаток 900 361 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
38,Депозит Сберегательный,"Серик, для стабильного дохода — сберегательный вклад со ставкой до 16,5%. Посмотреть условия."
39,Премиальная карта,"Ляззат, у вас средний остаток 1 248 239 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
40,Кредитная карта,"Асхат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
41,Премиальная карта,"Сандугаш, у вас средний остаток 1 164 313 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
42,Премиальная карта,"Рустем, у вас средний остаток 2 948 028 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
43,Кредитная карта,"Нуртас, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
44,Кредитная карта,"Айнагуль, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
45,Премиальная карта,"Диана, у вас средний остаток 72 552 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
46,Кредитная карта,"Арсен, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
47,Кредитная карта,"Камшат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
48,Кредитная карта,"Ержан, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
49,Карта для путешествий,"Амина, в среднем вы тратите 206 355 ₸ в месяц на поездки и отели. С тревел-картой ≈10 318 ₸ возврата в мес. Открыть карту в приложении."
50,Депозит Сберегательный,"Тимурлан, для стабильного дохода — сберегательный вклад со ставкой до 16,5%. Посмотреть условия."
51,Премиальная карта,"Жанат, у вас средний остаток 1 429 027 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
52,Депозит Сберегательный,"Милана, для стабильного дохода — сберегательный вклад со ставкой до 16,5%. Посмотреть условия."
53,Премиальная карта,"Расул, у вас средний остаток 1 258 584 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
54,Премиальная карта,"Виктория, у вас средний остаток 4 083 294 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
55,Депозит Сберегательный,"Асель, для стабильного дохода — сберегательный вклад со ставкой до 16,5%. Посмотреть условия."
56,Карта для путешествий,"Нуркен, в среднем вы тратите 193 975 ₸ в месяц на поездки и отели. С тревел-картой ≈9 699 ₸ возврата в мес. Открыть карту в приложении."
57,Премиальная карта,"Жания, у вас средний остаток 2 757 704 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
58,Кредитная карта,"Султан, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
59,Депозит Сберегательный,"Динара, для стабильного дохода — сберегательный вклад со ставкой до 16,5%. Посмотреть условия."
60,Кредитная карта,"Ермек, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
